setId,id,prompt,choice1,choice2,choice3,choice4,choice5,choice6,correctAnswers,select
practice-test-18,15,Which of the following answers refers to a security mechanism imposed by SELinux over system access?,DAC,RBAC,MAC,ABAC,,,MAC,1
practice-test-18,16,Which of the protocols listed below is used to enable secure web browsing?,L2TP,HTTPS,SSH,IPsec,,,HTTPS,1
practice-test-18,17,Which of the following protocols allow for secure file transfer?,FTPS,TFTP,FTP,SFTP,,,FTPS;SFTP,2
practice-test-18,18,FTPS is an extension to the SSH protocol and runs by default on TCP port 22,True,False,,,,,False,1
practice-test-18,19,Which of the answers listed below refers to a secure replacement for Telnet?,RSH,IPsec,SSH,RTPS,,,SSH,1
practice-test-18,20,Which of the following answers refers to a deprecated protocol designed as a secure way to send emails from a client to a mail server and between mail servers?,IMAPS,SFTP,POP3S,SMTPS,,,SMTPS,1
practice-test-18,21,Which of the protocols listed below enable secure retrieval of emails from a mail server to an email client?,FTPS,IMAPS,POP3S,STARTTLS,SMTPS,,IMAPS;POP3S,2
practice-test-18,22,Which of the following protocols enables secure access and management of emails on a mail server from an email client?,POP3S,SMTPS,IMAPS,S MIM E,,,IMAPS,1
practice-test-18,23,Which of the answers listed below refers to a secure network protocol used to provide encryption authentication and integrity for real-time multimedia communication?,IPsec,SIP,VoIP,SRTP,,,SRTP,1
practice-test-18,24,UDP is a connection-oriented protocol using a three-way handshake which is a set of initial steps required for establishing network connection UDP supports retransmission of lost packets flow control and sequencing Example applications of UDP include transmission of text and image data,True,False,,,,,False,1
practice-test-18,25,TCP is an example of a connectionless protocol Because TCP does not support three-way handshake while establishing a network connection it is referred to as unreliable or best-effort protocol Example applications of TCP include transmission of video and audio streaming data,True,False,,,,,False,1
practice-test-19,1,Which of the following answers refers to a policy framework that allows domain owners to specify how email receivers should handle emails that fail authentication checks?,DKIM,SPF,PEM,DMARC,,,DMARC,1
practice-test-19,2,Which of the answers listed below refers to an authentication method that enables the signing of an outbound email message with a digital signature?,SPF,DKIM,DMARC,PEM,,,DKIM,1
practice-test-19,3,Which of the following answers refers to an email authentication mechanism that allows domain owners to specify which IP addresses are authorized to send emails on behalf of their domain?,DMARC,PEM,DKIM,SPF,,,SPF,1
practice-test-19,4,Which of the answers listed below refers to a cryptographic standard and a file format used for the storage and transmission of private keys in email communications?,PEM,DMARC,SPF,DKIM,,,PEM,1
practice-test-19,5,Which of the following solutions would be the best choice for real-time protection against spam and phishing attacks?,Email client filter,Host-based AV software,Email security gateway,Cloud-based email service,,,Email security gateway,1
practice-test-19,6,Which of the answers listed below refers to the process of maintaining the integrity of files and data?,DLP,SIEM,FIM,SHA,,,FIM,1
practice-test-19,7,Which of the following answers refers to a solution that helps organizations mitigate risks associated with data breaches insider threats and compliance violations?,EDR,DLP,IAM,UTM,,,DLP,1
practice-test-19,8,Network Access Control NAC defines a set of rules enforced in a network that the clients attempting to access the network must comply with With NAC policies can be enforced before pre-admission NAC and or after end-stations gain access to the network post-admission NAC NAC can be implemented with the use of agent software which can be installed on the client machine permanently this type of software is referred to as permanent agent or used only temporarily during checks this type of software is known as dissolvable agent Another implementation option is agentless NAC where checks are performed remotely by an external security device without the need for any client software agents,True,False,,,,,True,1
practice-test-19,9,Which of the answers listed below refers to a security solution that provides the capability for detection analysis response and real-time monitoring of cyber threats at the device level?,SWG,CASB,EDR,NGFW,,,EDR,1
practice-test-19,10,Which of the following answers refers to a cybersecurity approach that focuses on recognizing and addressing potential threats originating from multiple sources?,XDR,WAF,EDR,SWG,,,XDR,1
practice-test-19,11,Which of the answers listed below refers to a cybersecurity approach aimed at identifying insider threats compromised accounts or malicious activity?,Threat intelligence,User behavior analytics,Security policies and procedures,Defense in depth,,,User behavior analytics,1
practice-test-19,12,Which of the following answers refers to a framework for managing access control to digital resources?,PAM,SSO,IAM,MFA,,,IAM,1
practice-test-19,13,Which of the terms listed below is used to describe the technical process of removing a user's access to an organization's systems and resources?,De-provisioning,Group Policy,IAM,Offboarding,,,De-provisioning,1
practice-test-19,14,A general characteristics of a standard user account is that it provides access to basic system resources but does not allow the user to make system changes,True,False,,,,,True,1
practice-test-19,15,An authentication subsystem in which a single set of authentication credentials provides access to multiple systems across different organizations or security domains is referred to as:,Syndication,Federation,Association,Propagation,,,Federation,1
practice-test-19,16,An authentication subsystem that enables a user to access multiple connected system components such as separate hosts on a network after a single login on only one of the components is known as:,NAC,SSO,AAA,MFA,,,SSO,1
practice-test-19,17,Which of the following answers refers to a protocol designed for accessing and managing information related to user accounts groups devices and other resources within an organization?,SOAP,RDP,LDAP,SAML,,,LDAP,1
practice-test-19,18,OAuth is an open standard for:,Auditing,Authentication,Authorization,Attestation,,,Authorization,1
practice-test-19,19,OpenID Connect is a protocol used for:,Attestation,Authorization,Auditing,Authentication,,,Authentication,1
practice-test-19,20,A common implementation of identity and access controls used in federated SSO systems includes OpenID Connect and OAuth 2.0 used in conjunction to provide authentication and authorization services,True,False,,,,,True,1
practice-test-19,21,What are the characteristic features of SAML?,Only authorization,Handles authentication and authorization,Uses XML,Enterprise use,Only authentication,Uses JSON,Handles authentication and authorization;Uses XML;Enterprise use,3
practice-test-19,22,Which of the terms listed below refers to the process of confirming the integrity and compliance status of various components such as devices software configurations and user privileges?,Attestation,Authentication,Auditing,Authorization,,,Attestation,1
practice-test-19,23,Which of the following answers refer(s) to the Mandatory Access Control MAC model?,Users cannot change policies,Admin assigns labels,Object owner controls access,Access by identity,Label clearance matching,,Users cannot change policies;Admin assigns labels;Label clearance matching,3
practice-test-19,24,Discretionary Access Control DAC is an access control model based on user identity In DAC every object has an owner who at his or her own discretion determines what kind of permissions other users can have for that object,True,False,,,,,True,1
practice-test-19,25,Which type of control access model connects user permissions to their specific responsibilities?,DAC,RBAC,MAC,ABAC,,,RBAC,1
practice-test-20,1,Which access control model allows for defining granular rules that consider user roles time constraints and network access restrictions?,ABAC,MAC,RuBAC,DAC,RBAC,,ABAC,1
practice-test-20,2,Examples of properties used for defining access policies in Attribute-Based Access Control ABAC model include:,Subject i.e. user or process requesting access,Type of action for example read write execute,Resource type medical record bank account etc.,Environment contextual data such as time of day or geolocation,All of the above,,All of the above,1
practice-test-20,3,Which access control model defines access control rules with the use of statements that closely resemble natural language?,DAC,ABAC,MAC,RBAC,,,ABAC,1
practice-test-20,4,Which of the access control models listed below enforces the strictest set of access rules?,MAC,RBAC,DAC,ABAC,,,MAC,1
practice-test-20,5,Which of the following access control methods would be the most suitable for scheduling system maintenance tasks during periods of low user activity?,Resource provisioning,Time-of-day restrictions,Principle of least privilege,Just-in-time permissions,,,Time-of-day restrictions,1
practice-test-20,6,The principle of least privilege is a security rule that prevents users from accessing information and resources that lie beyond the scope of their responsibilities,True,False,,,,,True,1
practice-test-20,7,In the context of IT security the term Biometrics refers to both biological characteristics of the human body and behavioral traits that can be used for identification and access control purposes,True,False,,,,,True,1
practice-test-20,8,A measure of the likelihood that a biometric security system will incorrectly reject an access attempt by an authorized user is called:,FAR,CER,CRC,FRR,,,FRR,1
practice-test-20,9,Which of the answers listed below refer(s) to a medium type that can be used as a hardware authentication token?,Smart card,Key fob,Security key,Passphrase,Biometric reader,RFID badge,Smart card;Key fob;Security key;RFID badge,4
practice-test-20,10,Which of the following examples does not fall into the category of software authentication tokens?,QR code token,Security key,SMS-based OTP,Authenticator app,Email-based OTP,,Security key,1
practice-test-20,11,Which of the answers listed below refer to the features of a security key?,Used for OTP generation remote vehicle access and building access,Hardware authentication token,Typically a physical USB stick or key fob sized device,Primarily used for digital security 2FA MFA,Software authentication token,Typically a credit card sized plastic card with an embedded chip,Hardware authentication token;Typically a physical USB stick or key fob sized device;Primarily used for digital security 2FA MFA,3
practice-test-20,12,Authentication process can be based on various categories of authentication factors These include knowledge based factors such as usernames passwords PINs or security question answers something you know possession based factors i.e. physical tokens such as smart cards key fobs or security keys something you have inherence based factors that include unique physical traits of each individual such as fingerprints iris scans facial recognition or voice patterns something you are or location based factors such as geolocation data or IP addresses somewhere you are A multifactor authentication system requires the implementation of authentication factors from two or more distinct categories,True,False,,,,,True,1
practice-test-20,13,The two factors that are considered important for creating strong passwords are:,Password length,Minimum password age,Password history,Password complexity,Maximum password age,,Password length;Password complexity,2
practice-test-20,14,A strong password that meets the password complexity requirement should contain:,Uppercase letters A Z,Digits 0 9,Non alphanumeric characters if permitted e.g. symbols,Lowercase letters a z,A combination of characters from at least 3 character groups,,A combination of characters from at least 3 character groups,1
practice-test-20,15,Which of the following passwords is the most complex?,T$7C52WL4SU,GdL3tU8wxYz,@TxBL$nW@Xt,G$L3tU8wY@z,,,G$L3tU8wY@z,1
practice-test-20,16,Which password policy would be the most effective in decreasing the risk of a security breach across multiple accounts?,Password expiration policy,Minimum password age policy,Password reuse policy,Maximum password age policy,,,Password reuse policy,1
practice-test-20,17,Which password policy enforces a mandatory password change after a specific time?,Password expiration policy,Password history policy,Minimum password age policy,Password reuse policy,,,Password expiration policy,1
practice-test-20,18,The minimum password age policy setting determines the period of time that a password can be used before the system requires the user to change it,True,False,,,,,False,1
practice-test-20,19,The maximum password age policy setting determines the period of time that a password must be used before the user can change it,True,False,,,,,False,1
practice-test-20,20,Which of the answers listed below refers to a software tool specifically designed to store and manage login credentials?,BitLocker,Password manager,Key escrow,Password vault,,,Password manager,1
practice-test-20,21,Which of the following technologies cannot be used as a passwordless authentication method?,Biometrics,Hardware tokens,QR codes,OTPs,Passkeys,All of the above can be used as a means for passwordless authentication,All of the above can be used as a means for passwordless authentication,1
practice-test-20,22,A security solution that provides control over elevated i.e. administrative type accounts is referred to as:,MFA,IAM,SSO,PAM,,,PAM,1
practice-test-20,23,Which of the answers listed below refers to a solution designed to minimize the risk of unauthorized access to privileged accounts?,Principle of least privilege,Just in time permissions,Passwordless authentication,Multifactor authentication,,,Just in time permissions,1
practice-test-20,24,Which of the following answers refers to an encrypted database that provides secure storage space for user credentials?,Secure enclave,Password manager,Rainbow table,Password vault,,,Password vault,1
practice-test-20,25,Which of the terms listed below refer(s) to the concept of ephemeral access where access to systems resources or permissions is provided for a limited duration?,TOTP,OTP,Just in time permissions,User password,API key,,TOTP;Just in time permissions,2
practice-test-21,1,Which of the following terms refers to the use of technology to perform individual tasks with minimal human intervention?,Automation,Scripting,Orchestration,Sequencing,,,Automation,1
practice-test-21,2,Which of the terms listed below refers to a process that deals with coordinating and managing multiple repetitive tasks?,Sequencing,Orchestration,Scripting,Automation,,,Orchestration,1
practice-test-21,3,Which of the following technologies enables automated handling of multiple security incidents?,SOAP,SASE,SOAR,SIEM,,,SOAR,1
practice-test-21,4,A checklist of actions that can be performed in response to a security incident is known as a:,Runbook,Template,Playbook,Script,,,Playbook,1
practice-test-21,5,Which of the terms listed below refers to a term that describes an exact sequence of steps including both manual and automated actions to be taken in response to a specific security incident?,Runbook,Script,Template,Playbook,,,Runbook,1
practice-test-21,6,Which of the following answers refers to a set of rules policies or automated controls designed to regulate technology-related decisions and actions within an organization?,Technical standards,Compliance requirements,Guardrails,Security baselines,,,Guardrails,1
practice-test-21,7,Which of the answers listed below refers to a term primarily used in software development to describe the cost of short-term decisions that can lead to long-term problems?,Code entropy,Exposure factor,Risk register,Technical debt,,,Technical debt,1
practice-test-21,8,Which part of the incident response process involves establishing and maintaining the incident response capability as well as setting up an incident response team?,Preparation,Detection and analysis,Containment eradication and recovery,Post-incident activity,,,Preparation,1
practice-test-21,9,In the incident response process the step that involves identifying and understanding potential incidents to determine their scope impact and root cause is a part of the:,Preparation stage,Detection and analysis stage,Containment eradication and recovery stage,Post-incident activity stage,,,Detection and analysis stage,1
practice-test-21,10,Which of the following answers refer(s) to the containment eradication and recovery stage of the incident response process?,Restoring normal operations,Eliminating the threat,Monitoring and detecting potential incidents,Establishing and maintaining an incident response policy,Mitigating the impact of the incident,,Restoring normal operations;Eliminating the threat;Mitigating the impact of the incident,3
practice-test-21,11,Which stage of the incident response process involves updating incident response plans policies and procedures?,Preparation,Detection and analysis,Containment eradication and recovery,Post-incident activity,,,Post-incident activity,1
practice-test-21,12,Which of the answers listed below refers to a discussion-based activity where team members walk through different scenarios to evaluate the incident response plan without activating any systems?,Tabletop exercise,Simulation,Threat hunting,Root cause analysis,,,Tabletop exercise,1
practice-test-21,13,Which of the following answers refers to a more in-depth exercise which can include activating systems and performing real actions to respond to the incident?,Penetration testing,Threat hunting,Simulation,Vulnerability scanning,,,Simulation,1
practice-test-21,14,During the post-incident activity stage this step involves analyzing logs forensics data and other evidence to prevent incident reoccurrence?,Reporting,E-discovery,Root cause analysis,Threat hunting,,,Root cause analysis,1
practice-test-21,15,The term Threat hunting refers to a proactive search for IoC to identify and address potential threats and vulnerabilities before they can escalate into full-blown incidents,True,False,,,,,True,1
practice-test-21,16,The process of maintaining a documented record of the handling and movement of evidence to ensure its integrity and admissibility in court is called:,Chain of custody,Chain of evidence,Chain of accountability,Chain of responsibility,,,Chain of custody,1
practice-test-21,17,The process of identifying collecting and producing electronically stored information with the intent of using it in a legal proceeding or investigation is referred to as:,Litigation hold,Evidence management,Digital forensics,E-discovery,,,E-discovery,1
practice-test-21,18,Which type of server is used for collecting diagnostic and monitoring data from networked devices?,Jump server,C2 server,Syslog server,ICS server,,,Syslog server,1
practice-test-21,19,The term Metadata refers to data that provides information about other data but not the actual content of the data Typically metadata is not visible to the user by default but can be accessed if needed For example email metadata found in email headers includes detailed information about the sender recipient and the route the message took Mobile device metadata encompasses details such as the device model geolocation camera information internet usage phone call and text messaging activity application usage statistics and metadata from various files on the device In web browsing metadata comes from HTML meta tags located in the head section of a web page For files metadata includes details about the author file type size creation date and time and the last modification date and time,True,False,,,,,True,1
practice-test-21,20,A correlation engine used for processing various types of log data into an actionable information is a feature of:,Syslog server,SIEM dashboard,REST API,Log repository,,,SIEM dashboard,1
practice-test-21,21,Which of the answers listed below refers to a process of intercepting network traffic data for analysis and troubleshooting purposes?,AIS,PCAP,EDR,MaaS,,,PCAP,1
practice-test-21,22,A type of document stipulating rules of behavior to be followed by users of computers networks and associated resources is known as:,SLA,EULA,AUP,BPA,,,AUP,1
practice-test-21,23,Which of the following acronyms refers to a comprehensive strategy and set of procedures designed to ensure that an organization can continue its critical operations and functions during and after a disruptive event?,DRP,CP,BCP,COOP,,,BCP,1
practice-test-21,24,Which of the answers listed below refers to a set of procedures put in place to recover IT systems and data following a major disruption?,BCP,DRP,IRP,ERP,,,DRP,1
practice-test-21,25,Which of the following terms refers to a documented plan outlining the steps that should be taken in each phase of a cybersecurity incident?,DRP,IRP,BCP,ERP,,,IRP,1
practice-test-22,1,Which of the terms listed below refers to the process of creating and maintaining computer applications?,RAD,SDLC,OOP,SaaS,,,SDLC,1
practice-test-22,2,Which of the following terms is used to describe all aspects of software development?,PLC,SDLC,QA,SDLM,,,SDLM,1
practice-test-22,3,A new-user setup checklist includes all the activities that enable a new hire to become productive Examples of such activities which are part of the so-called onboarding process include setting up the hardware and software environment for the new user as well as providing all the necessary training An end-user termination checklist deals with all the actions that should take place during the offboarding process i.e. whenever an employee leaves the company Examples of the checklist items include fulfilling all the required documents removing the employees access to resources e.g. company-owned devices user accounts etc. and discussing their reasons for leaving and experiences with the employer during an exit interview,True,False,,,,,True,1
practice-test-22,4,Which of the terms listed below best describes GDPR as an act of law?,Regulatory,Local,Industry-specific,Global,,,Regulatory,1
practice-test-22,5,Which of the following terms refers to an industry-specific regulation?,RFC,ISO,PCI DSS,GDPR,,,PCI DSS,1
practice-test-22,6,Which of the answers listed below refers to an organization that develops a wide range of standards on a global level?,IEEE,ANSI,ISO,NIST,,,ISO,1
practice-test-22,7,Which decision-making authorities assume the responsibility for strategic direction and governance oversight at the highest level of an organization?,Stakeholders,Boards,Committees,Government entities,,,Boards,1
practice-test-22,8,Which of the following answers refers to a general term used to describe a specialized group within an organization focusing on specific tasks or areas of responsibility?,Council,Advisory board,Committee,Task force,,,Committee,1
practice-test-22,9,Which of the answers listed below refers to public sector organizations that set and enforce laws and regulations at local regional or national levels?,Government entities,Trade associations,Statutory bodies,Regulatory agencies,,,Government entities,1
practice-test-22,10,Which of the following terms describes individuals or entities with overall accountability and authority over the data or system?,Custodians,Owners,Processors,Controllers,,,Owners,1
practice-test-22,11,Which of the answers listed below refers to organizations or individuals responsible for ensuring compliance with data protection laws?,Controllers,Stewards,Owners,Processors,,,Controllers,1
practice-test-22,12,Which of the following answers refers to entities that act on behalf of the data controller to perform specific data-related tasks?,Stewards,Owners,Processors,Controllers,,,Processors,1
practice-test-22,13,Which of the answers listed below refer(s) to individuals responsible for the day-to-day management storage and protection of data?,Processors,Controllers,Stewards,Owners,Custodians,,Stewards;Custodians,2
practice-test-22,14,The process of determining potential risks that could affect an organizations ability to achieve its objectives is called:,Risk assessment,Risk identification,Risk analysis,Risk management,,,Risk identification,1
practice-test-22,15,The process of evaluating discovered risks to understand their potential impact and likelihood is referred to as:,Risk analysis,Risk assessment,Risk identification,Risk management,,,Risk assessment,1
practice-test-22,16,Which of the following answers refers to a risk assessment method based on need typically conducted in response to specific events or changes such as after a major organizational change or a security breach?,Ad hoc,Recurring,One-time,Continuous,,,Ad hoc,1
practice-test-22,17,Which of the answers listed below refers to an example of recurring risk assessment?,Real-time monitoring of network security threats,Assessing risk after a major organizational change or a security breach,Quarterly or annual risk assessments,Risk assessment for a new product launch,,,Quarterly or annual risk assessments,1
practice-test-22,18,Which of the following answers refers to a risk assessment conducted for a specific purpose or project without plans for regular reassessment e.g. risk assessment for a new product launch?,One-time,Recurring,Ad hoc,Continuous,,,One-time,1
practice-test-22,19,Which of the answers listed below refers to an example of continuous risk assessment?,Quarterly or annual risk assessments,Risk assessment for a new product launch,Assessing risk after a major organizational change or a security breach,Real-time monitoring of network security threats,,,Real-time monitoring of network security threats,1
practice-test-22,20,Assessment of risk probability and its impact based on subjective judgment falls into the category of:,Risk acceptance,Quantitative risk assessment,Risk tolerance,Qualitative risk assessment,,,Qualitative risk assessment,1
practice-test-22,21,A calculation of SLE is an example of:,Quantitative risk assessment,Ad hoc risk assessment,Qualitative risk assessment,Recurring risk assessment,,,Quantitative risk assessment,1
practice-test-22,22,Which of the following terms is used to describe the predicted loss of value to an asset based on a single security incident?,SLE,ARO,ALE,SLA,,,SLE,1
practice-test-22,23,Which of the acronyms listed below refers to a risk assessment formula defining probable financial loss due to a risk over a one-year period?,ARO,SLE,ALE,SLA,,,ALE,1
practice-test-22,24,Which of the following answers refers to the correct formula for calculating probable financial loss due to a risk over a one-year period?,SLE = AV x EF,ALE = ARO x SLE,SLE = ALE x AV,ALE = AV x EF,,,ALE = ARO x SLE,1
practice-test-22,25,In quantitative risk assessment this term is used for estimating the likelihood of occurrence of a future threat?,ALE,SLA,ARO,SLE,,,ARO,1
practice-test-23,1,An estimate based on the historical data of how often a threat would be successful in exploiting a vulnerability is known as:,ALE,SLA,ARO,SLE,,,ARO,1
practice-test-23,2,In the context of risk assessment the Exposure Factor EF is defined as the percentage of loss that a realized threat would have on an asset If an organization has an asset valued at $10,000 and the EF is determined to be 20% what would be the SLE?,500,2000,5000,10000,,,2000,1
practice-test-23,3,Which of the answers listed below refers to a comprehensive document used in risk management and project management to identify assess and track risks?,Risk register,Risk heat map,Risk matrix,Risk repository,,,Risk register,1
practice-test-23,4,Which of the following terms is used to describe the specific level of risk an organization is prepared to accept in pursuit of its objectives?,Risk appetite,Risk tolerance,Risk acceptance,Risk capacity,,,Risk tolerance,1
practice-test-23,5,Which of the terms listed below refers to a general term that describes an organizations overall attitude towards risk-taking?,Risk strategy,Risk control,Risk appetite,Risk tolerance,,,Risk appetite,1
practice-test-23,6,Contracting out a specialized technical component when the companys employees lack the necessary skills is an example of:,Risk deterrence,Risk avoidance,Risk acceptance,Risk transference,,,Risk transference,1
practice-test-23,7,Cybersecurity insurance is an example of which risk management strategy?,Risk avoidance,Risk deterrence,Risk transference,Risk acceptance,,,Risk transference,1
practice-test-23,8,In the context of risk acceptance choosing not to apply certain controls or safeguards for a specific risk is called:,Exception,Evasion,Exemption,Exclusion,,,Exemption,1
practice-test-23,9,In the risk acceptance strategy the practice of temporarily not complying with a standard or policy due to a specific risk scenario is referred to as:,Exclusion,Exception,Evasion,Exemption,,,Exception,1
practice-test-23,10,Disabling certain system functions or shutting down the system when risks are identified is an example of:,Risk acceptance,Risk avoidance,Risk transference,Risk deterrence,,,Risk avoidance,1
practice-test-23,11,Which of the following terms describes the process of taking proactive measures to reduce the impact of identified risks?,Risk acceptance,Risk avoidance,Risk transference,Risk mitigation,,,Risk mitigation,1
practice-test-23,12,Which of the acronyms listed below refers to a maximum allowable time to restore critical business functions after a disruption?,SLA,RTO,MTTF,RPO,,,RTO,1
practice-test-23,13,Which of the following defines the maximum acceptable amount of data loss measured by a specific point in time before a disaster or outage?,RPO,MTBF,RTO,MTTR,,,RPO,1
practice-test-23,14,Which of the terms listed below is used to describe the average time required to repair a failed component or device?,MTBF,RPO,MTTR,SLA,,,MTTR,1
practice-test-23,15,A high MTBF value indicates that a component or system provides low reliability and is more likely to fail,True,False,,,,,False,1
practice-test-23,16,A metric that represents the average amount of time a device or system is expected to operate before experiencing its first failure is known as:,MTTR,SLA,MTBR,MTTF,,,MTTF,1
practice-test-23,17,Which of the following answers refers to a contractual provision that grants one party the right to inspect the other partys operations facilities processes and records?,Right-to-audit clause,Oversight clause,Compliance verification clause,Transparency clause,,,Right-to-audit clause,1
practice-test-23,18,In the context of third-party risk assessment and management which process involves conducting thorough investigations to verify the credentials reliability and integrity of potential vendors?,Reference check,Compliance review,Due diligence,Vendor appraisal,,,Due diligence,1
practice-test-23,19,Which of the terms listed below refers to a situation where a partys impartiality could be questioned due to potential personal or financial gains?,Dual relationship,Undue influence,Conflict of interest,Self-dealing,,,Conflict of interest,1
practice-test-23,20,An agreement between a service provider and users defining the nature availability quality and scope of the service to be provided is called:,SOW,MSA,SLA,MOU,,,SLA,1
practice-test-23,21,Which of the following terms refers to an agreement that specifies performance requirements for a vendor?,MSA,SLA,MOU,SOW,,,SLA,1
practice-test-23,22,Which of the acronyms listed below refers to a formal and often legally binding document that outlines specific responsibilities roles and terms agreed upon by two or more parties?,SOW,MOA,MSA,MOU,,,MOA,1
practice-test-23,23,A type of nonbinding agreement outlining mutual goals and the general framework for cooperation between two or more parties is referred to as:,MOA,SOW,MOU,MSA,,,MOU,1
practice-test-23,24,A type of legally binding contract that establishes the foundational terms and conditions governing future agreements between two parties is known as:,MOU,SLA,MSA,SOW,,,MSA,1
practice-test-23,25,Which of the following acronyms refers to a document that authorizes initiates and tracks the progress and completion of a particular job or task?,SOW,WO,SLA,MSA,,,WO,1
practice-test-24,1,A detailed agreement between a client and a vendor that describes the work to be performed on a project is called:,MSA,SLA,WO,SOW,,,SOW,1
practice-test-24,2,A legal contract between the holder of confidential information and another person to whom that information is disclosed restricting that other person from disclosing the confidential information to any other party is referred to as:,ISA,NDA,BPA,SLA,,,NDA,1
practice-test-24,3,Which of the terms listed below refers to a formal contract between business partners outlining the rights responsibilities and obligations of each partner regarding the management operation and decision-making processes within the business?,MSA,SLA,BPA,MOA,,,BPA,1
practice-test-24,4,Which of the following terms describes an investigation or assessment done upfront to ensure all facts and risks are known before proceeding?,Fiduciary duty,Due care,Standard of care,Due diligence,,,Due diligence,1
practice-test-24,5,Which of the terms listed below is used to describe actions taken to address and mitigate already identified risks?,Due diligence,Standard of care,Due care,Fiduciary duty,,,Due care,1
practice-test-24,6,Under data privacy regulations the individual whose personal data undergoes collection and processing is known as:,Data holder,Data owner,Data user,Data subject,,,Data subject,1
practice-test-24,7,Which of the following answers refers to an entity such as an organization or individual that determines the purpose and means of processing personal data?,Data processor,Data owner,Data controller,Data subject,,,Data controller,1
practice-test-24,8,An entity that acts under the instructions of a controller by processing personal data on behalf of the controller is called:,Data steward,Data processor,Data subject,Data custodian,,,Data processor,1
practice-test-24,9,Which of the terms listed below refers to a legal principle that allows individuals to request the removal of personal information from Internet searches and other public sources?,De-identification,Right to be forgotten,Anonymization,Consent management,,,Right to be forgotten,1
practice-test-24,10,A formal declaration by an auditor that they have performed their work in accordance with all relevant standards and regulations is referred to as:,Assertion,Certification,Validation,Attestation,,,Attestation,1
practice-test-24,11,In the context of audits an attestation is typically provided by:,Regulatory body,External auditor,Audit committee,Internal audit team,,,External auditor,1
practice-test-24,12,In cybersecurity exercises red team takes on the role of:,An attacker,A defender,Both an attacker and a defender,An exercise overseer,,,An attacker,1
practice-test-24,13,In cybersecurity exercises the defending team is known as:,Red team,Blue team,White team,Purple team,,,Blue team,1
practice-test-24,14,In cybersecurity exercises the role of an event overseer i.e. the referee is delegated to:,Red team,Blue team,White team,Purple team,,,White team,1
practice-test-24,15,In cybersecurity exercises a purple team assumes the integrated role of all other teams i.e. red blue and white,True,False,,,,,False,1
practice-test-24,16,A penetration test performed by an authorized professional with the full prior knowledge on how the system that is to be tested works is called:,Black-hat hacking,White-box testing,Black-box testing,White-hat hacking,,,White-box testing,1
practice-test-24,17,Which of the following terms is used to describe a penetration test in which the person conducting the test has limited access to information on the internal workings of the targeted system?,Black-box testing,Fuzz testing,Gray-box testing,White-box testing,,,Gray-box testing,1
practice-test-24,18,A penetration test of a computer system performed without prior knowledge of how the system that is to be tested works is referred to as black-box testing,True,False,,,,,True,1
practice-test-24,19,In penetration testing active reconnaissance involves gathering any type of publicly available information that can be used later for exploiting vulnerabilities found in the targeted system,True,False,,,,,False,1
practice-test-24,20,In penetration testing passive reconnaissance relies on gathering information on the targeted system with the use of various non-invasive software tools and techniques such as pinging port scanning or OS fingerprinting,True,False,,,,,False,1
practice-test-24,21,In email communication what signs can be of help in recognizing a phishing attempt?,Poor spelling and grammar,Requests personal info,Urgent call to action,Suspicious links or attachments,Any of the above,,Any of the above,1
practice-test-24,22,What would be an appropriate user response to an email phishing attempt?,Do not reply or share info,Report to IT,Delete message,Do not click links,Forward to sender,Open attachment sandbox,Do not reply or share info;Report to IT;Delete message;Do not click links,4
practice-test-24,23,Which term best describes a disgruntled employee abusing legitimate access to a company’s internal resources?,APT,Insider threat,Gray hat,Threat actor,,,Insider threat,1
practice-test-24,24,Due to added functionality in its plug a malicious USB cable can be used for:,GPS tracking,Keystroke capture,Command execution,Malware delivery,Any of the above,,Any of the above,1
practice-test-24,25,What is the best countermeasure against social engineering attacks?,Situational awareness,Implicit deny policy,User education,Strong security controls,,,User education,1
acronyms-1,1,A type of user identification mechanism used as a countermeasure against automated software (such as network bots) is known as:,MFA,CAPTCHA,ACL,NIPS,,,CAPTCHA,1
acronyms-1,2,Which of the following is the recommended replacement for DES?,DSA,RSA,RC4,AES,,,AES,1
acronyms-1,3,Which of the terms listed below refers to the process of creating and maintaining computer applications?,RAD,SDLC,OOP,SaaS,,,SDLC,1
acronyms-1,4,A type of firmware interface designed as a replacement for BIOS is called:,UEFI,GPT,ACPI,PXE,,,UEFI,1
acronyms-1,5,Which of the following answers refers to a network security solution providing a single point of protection against various types of threats?,IDP,AV,UTM,NGFW,,,UTM,1
acronyms-1,6,A WAP is a specific type of AP that is used to create WLANs.,True,False,,,,,True,1
acronyms-1,7,Which of the answers listed below refers to a language used for creating and organizing the content of web pages?,HTML,CSS,JS,HTTP,,,HTML,1
acronyms-1,8,Which network protocol enables retrieving contents of an Internet page from a web server?,SNMP,HTTP,SMTP,IMAP,,,HTTP,1
acronyms-1,9,What is the name of a network protocol that secures web traffic via SSL/TLS encryption?,SFTP,HTTPS,FTPS,SHTTP,,,HTTPS,1
acronyms-1,10,The purpose of PCI DSS is to provide protection for:,Credit cardholder data,Licensed software,User passwords,Personal health information,,,Credit cardholder data,1
acronyms-1,11,Which term describes the predicted loss of value to an asset based on a single security incident?,SLE,ARO,ALE,SLA,,,SLE,1
acronyms-1,12,Which of the following acronyms refers to a software that provides the functionality of a physical computer?,SDN,SaaS,VM,SoC,,,VM,1
